"","text"
"489"," initial nose   think oak  orange together followed   pronounced orange  peppery oak    turn followed  notes  vanilla   depths  isnt even  barest hint  alcohol   nose  palate   oak  oranges followed  orange candy   medicinal orange notes     barest hints  alcohol   barely  bite   finishthe finish  dry   hints  toffee showing    airing  oranges"
"490","pricier   great single malts laphroaig ardbeg arran     beautiful blend fruity complex  smoky  smooth   pleasant numbing bite   finish think   smokier fruitier version  arran "
"491","dismissed  many due   price point   blend  dont overlook  incredibly light smooth  floral whisky less sweet  fruity orange spice wood cone   dont let  snobs put     wearisome complaints   lacks  complexity    sweet   contrary id say   pure understated complexity  elegance give   chance   wont  disappointed "
"492"," pleasantly surprised   smooth  tasty  "
"493"," trying  hakushu yr   first japanese whisky   blown away   eager  try  offerings  suntorys distilleries  hibiki japanese harmony   next bottle  grabbed  nose  promising slightly floral   warmth  spice   hakushu  got slightly woody smells   nose  none   cirtrus  smoke   hakushu smells  invitingon  palate sweetness dominates everything  tasted   someone dropped  dollop  honey directly   tongue   whiskey comes   even  sweetest bourbon   generally enough body  flavor  support  sweetness   honey    interesting  pleasant tasting notes   whisky especially     get   exhale   good sip    tasting notes   demure  restrained  subtle  simply   stand    overwhelming sweetness  best hibiki might make  great base   minimalist cocktail  whisky  club soda  worst   simply medicinal  taste  lacking    virtues    fantastic japanese whiskys ive tasted"
"494","one   best blended whiskys ive tasted"
"495"," truly delicious whiskeysmooth  satisfyingeven   nectar   enjoyedthe glass continues    delightful nose  oak  spicy sandalwood"
"496","caramelalmondtoffeesweet stuffa little salty simple mid palate  really smooth  terrific   price  like  better  yamazaki  year  nikka pure malt great whisky    "
"497","  never tried japanese whiskey   master  malt led   japanese harmony thank   without doubt one   tastiest  memorable whiskeys ive ever   privilege  savour"
"498","  pale shadow   hibiki   nose  promising   palate  finish   little unbalanced dare  say unharmonioussaddens   almost impossible  find  bottle  hibiki   even hibiki  nowadays"
"499","   awesome whiskey "
"500","super smooth flavour"
"501"," super smooth flavour  enjoyable light n lovely one   favourites "
"502"," sure   one   plus side   lovely fruit fragrance  herby  woody notes    pleasant mouth feel   strongest impression  sweetness   little  much    "
"503","caramel nose lots  orange  first taste  less thereafter vanilla  floral oaky finish  pleased"
"504","based   ive heard     satisfying whisky"
"505","nose  mostly plumi also got white chocolate   cork palate continues    fruity floweryi   get orange   like apricot  note  could  place till  read  review  said hibiscusthats   touch  malt finish   bit woody burnt almost  see  many  given kinda low ratingsthe thing  remember      blend   malt  rarely see  kind  complexity   blend   good    dont like  flavor profile thats one thingdoesnt mean  whisky  bad  long      sets     however    second japanese whisky  ill say thisthis  definitely   good   nikka   barrel"
"506"," usually  fan  blended whiskey   one set    ear"
"507","super "
"508","looking   mediocre reviews  compared  hibiki   nikka whiskey   barrel  light harmony  japanese whiskys light harmony   excellent light whiskey    served   even   try whiskey    first time  women  includedno one   turned  many whiskey connoisseurs lost  taste  stinky taste  peat like laphroaig  smoky lagavulinif  like  try light refreshing whisky without strong aftertaste look  "
"509"," good balance       year "
"510"," whisky   inviting nose notes  honey hibiscus  subtle vanilla  upon first taste   senses  overwhelmed   sweet taste  remains    minutes  completing  dram  still feels like    lollipop   mouth  texture  thin    honesty  expected "
"511","simply one   best"
"512","unique floral certainly  smokey  smooth  could give  hangover unlike scottish scothches  "
"513"," sweet kind  tastes like cough syrup orange peel   stale caramel first sipok   different second sipnot sure   like  third sipyuck give  something  rinse  palate  give   real whiskey    taste buds dont sue   abusethis   embarrassing whiskey  suntory  hope   gets pulled   shelves soon    giving   bad name"
"514","color rich  deep  amber character  clearly contains caramel due   hue   whisky  conjunction   flavor   curiously sweet    linger   tongue im convinced   caramel coloring   drink aroma fruity  notes  pear  banana  delicate notes  marshmallow  caramelized sugars  notes  toasted cinnamon  raisin bread   subdued    aspect  charcoal  also  subdued    present alongside  phenolic notes   malt  rather    fruity flavor  would  found   bourbon overall  nose  lacking  pungency    truly distinctive notes  many  less expensive japanese blendstaste  texture texture  thicker  ardbeg  coats  glass   pleasant way   taste  forgettable  doesnt linger   mouth nearly long enough   pleasurable  flavors  immediately remind   nikka   barrel   without  distinction  pungency  nikkas honey flavorboth  suntorys malts hakushu  yamazaki present strongly  japanese harmony   effect  less pleasant     year old hibiki  hakushu blend   exceptionally sweet   notes  pine  earthy flavors  found   peated whiskys like ardbeg  laphraoig  overwhelmed   acidity  acridness   yamazaki malt  tends    spicy  possesses  cinnamon characteristics  present  japanese harmony  end result   whiskey   potential   fantastic  falls short  terms   potency  longevity   flavor   mouth would  recommend  would recommend   place  hibiki     palatable honey notes nikka   barrel    rounder fruity profiles  well    distinct  pleasant fruit notes  hakushu    surprisingly refreshing   exceptionally balanced flavor profile  sweet  earthy"
